"pressure"	"GlobalNodeId"	"PedigreeNodeId"	"vtkValidPointMask"	"arc_length"	"Points:0"	"Points:1"	"Points:2"
0.038802	77327	77327	1	0	0	2.15	0.5
0.038813	76357	76357	1	0.001	0.001	2.15	0.5
0.038824	75388	75388	1	0.002	0.002	2.15	0.5
0.038835	74418	74418	1	0.003	0.003	2.15	0.5
0.038846	73448	73448	1	0.004	0.004	2.15	0.5
0.038857	72479	72479	1	0.005	0.005	2.15	0.5
0.038869	71509	71509	1	0.006	0.006	2.15	0.5
0.03888	70539	70539	1	0.007	0.007	2.15	0.5
0.038891	69569	69569	1	0.008	0.008	2.15	0.5
0.038902	68600	68600	1	0.009	0.009	2.15	0.5
0.038913	67630	67630	1	0.01	0.01	2.15	0.5
0.038924	66660	66660	1	0.011	0.011	2.15	0.5
0.038935	65691	65691	1	0.012	0.012	2.15	0.5
0.038946	64721	64721	1	0.013	0.013	2.15	0.5
0.038957	63751	63751	1	0.014	0.014	2.15	0.5
0.038969	62678	62678	1	0.015	0.015	2.15	0.5
0.038982	61489	61489	1	0.016	0.016	2.15	0.5
0.038995	60300	60300	1	0.017	0.017	2.15	0.5
0.039008	59110	59110	1	0.018	0.018	2.15	0.5
0.039021	57921	57921	1	0.019	0.019	2.15	0.5
0.039033	56732	56732	1	0.02	0.02	2.15	0.5
0.039046	55543	55543	1	0.021	0.021	2.15	0.5
0.039057	54677	54677	1	0.022	0.022	2.15	0.5
0.039063	54375	54375	1	0.023	0.023	2.15	0.5
0.039064	54307	54307	1	0.024	0.024	2.15	0.5
0.03909	53842	53842	1	0.025	0.025	2.15	0.5
0.039114	53546	53546	1	0.026	0.026	2.15	0.5
0.039138	53376	53376	1	0.027	0.027	2.15	0.5
0.039161	53206	53206	1	0.028	0.028	2.15	0.5
0.039184	53036	53036	1	0.029	0.029	2.15	0.5
0.039207	52866	52866	1	0.03	0.03	2.15	0.5
0.039231	52696	52696	1	0.031	0.031	2.15	0.5
0.039254	52526	52526	1	0.032	0.032	2.15	0.5
0.039276	52356	52356	1	0.033	0.033	2.15	0.5
0.039298	52186	52186	1	0.034	0.034	2.15	0.5
0.039321	52015	52015	1	0.035	0.035	2.15	0.5
0.039343	51845	51845	1	0.036	0.036	2.15	0.5
