time,intC00,intC01,intC02,intC03,intC04,intC05,intC06,intC07,intC08,intC09,intC10,intC11,intC12,intC13,intC14,intC15,intC16,intC17,intC18,intC19,intC20,intC21,intD00,intD01,intD02,intD03,intD04,intD05,intD06,intD07,intD08,intD09,intD10,intD11,intD12,intD13,intD14,intD15,intD16,intD17,intD18,intD19,intD20,intD21
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0025,0.0078495740981838,7.5307402771395e-08,5.2812772378971e-07,1.6789309153033e-10,3.8831744690249e-07,3.7836578961807e-11,2.6599184370841e-10,2.5423583690962e-23,2.5423583690962e-23,1.0923267536413e-20,1.1728269342099e-18,1.0757403675197e-20,3.429495106802e-20,2.0858021503264e-18,2.0117937943932e-15,6.2323894579989e-18,6.3876059628373e-17,1.6939630255157e-18,4.9028394217518e-17,6.5432332615735e-20,2.1768716653691e-18,7.2143833199582e-21,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125
0.005,0.012564695420601,4.8778954669833e-07,3.2649651312781e-06,1.5144437718915e-09,2.4201533817272e-06,3.396841971621e-10,2.3566299875942e-09,5.8199381899781e-22,5.8199381899781e-22,2.2353490902412e-19,2.1263775142983e-17,2.2055699635044e-19,6.5433201687818e-19,3.8054609597777e-17,2.9695538440084e-14,1.034132936765e-16,1.0520427077225e-15,3.0128827561599e-17,7.9784162808921e-16,1.1703669544373e-18,3.9055009246498e-17,1.436244523599e-19,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125
0.0075,0.017260119504436,1.7780290737736e-06,1.1384993655784e-05,7.4859656203489e-09,8.5030569923024e-06,1.672781679364e-09,1.1443115752364e-08,6.9028334641396e-21,6.9028334641396e-21,2.3833132119079e-18,2.0170666781678e-16,2.3552058150198e-18,6.5185001631869e-18,3.6303882315022e-16,2.3078913780063e-13,8.9974249538426e-16,9.0853988521951e-15,2.8037430393855e-16,6.8163501640734e-15,1.0962370466125e-17,3.6629053199334e-16,1.4891401832699e-18,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125
0.01,0.021929219215192,4.8110275333213e-06,2.9530495542971e-05,2.6827305440418e-08,2.22113759512e-05,5.9776739263985e-09,4.0294247263402e-08,5.6478376145477e-20,5.6478376145477e-20,1.76197775659e-17,1.3319591277067e-15,1.743386413768e-17,4.5119313876427e-17,2.4095997713771e-15,1.2559775688719e-12,5.4606641599069e-15,5.4729639891625e-14,1.8162847711989e-15,4.0667998736466e-14,7.153674227735e-17,2.3896101342851e-15,1.07035939152e-17,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125
0.0125,0.026562220936031,1.0774019468748e-05,6.351153217686e-05,7.790587573653e-08,4.8086701211614e-05,1.7324262094133e-08,1.1501650701059e-07,3.5815561360314e-19,3.5815561360314e-19,1.0144488705363e-16,6.8749967508075e-15,1.0047559330396e-16,2.4368042239466e-16,1.2494500236814e-14,5.3720991077017e-12,2.5955717083171e-14,2.5818695673108e-13,9.1968055029774e-15,1.9021200263258e-13,3.6516775908212e-16,1.2176703081302e-14,5.9909274698898e-17,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125
0.015,0.03114728776324,2.1137996007303e-05,0.00011987081858391,1.9447336867277e-07,9.1322457800153e-05,4.3193026174184e-08,2.8233333178729e-07,1.8754692543269e-18,1.8754692543269e-18,4.8443623114813e-16,2.9535066822773e-14,4.8018844293901e-16,1.0935682823663e-15,5.3896759289024e-14,1.9223299249063e-11,1.0287600941691e-13,1.0155577663035e-12,3.8758719593736e-14,7.4249168150226e-13,1.552552972708e-15,5.1609959468862e-14,2.7812635622742e-16,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125
0.0175,0.035671390608877,3.7597511838017e-05,0.00020542831347018,4.3262889728792e-07,0.00015741904159711,9.6040424313695e-08,6.1793679836894e-07,8.4382579985279e-18,8.4382579985279e-18,1.9959120219052e-15,1.0983137584665e-13,1.9796214900272e-15,4.2415298053584e-15,2.0115415516623e-13,5.9833289151378e-11,3.5358405234574e-13,3.4636297970103e-12,1.4139062993791e-13,2.5152158542128e-12,5.7175772616311e-15,1.8923548300858e-13,1.1141262311465e-15,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125
0.02,0.040121109694454,6.2001259301698e-05,0.00032687721648887,8.7857648124619e-07,0.00025186685906135,1.9507331073118e-07,1.2352922127297e-06,3.351959730029e-17,3.351959730029e-17,7.288202874541e-15,3.631118239709e-13,7.2320175720138e-15,1.4604720634373e-14,6.6716475910722e-13,1.6633195490702e-10,1.0822804672755e-12,1.0519158652325e-11,4.5855787313329e-13,7.5931636785041e-12,1.8731628167081e-14,6.1654156952852e-13,3.9562065033001e-15,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125
0.0225,0.044483317820515,9.6282254369867e-05,0.00049046485447832,1.6566638305894e-06,0.00037988682854637,3.6813524928909e-07,2.2942309883263e-06,1.1989445228178e-16,1.1989445228178e-16,2.4049893758533e-14,1.0880610962079e-12,2.3872225325937e-14,4.5516379610599e-14,2.0047492109134e-12,4.2091673748844e-10,3.0074665188759e-12,2.8999763639229e-11,1.3479224860488e-12,2.082315190661e-11,5.5653917753561e-14,1.8197317296118e-12,1.2698186723712e-14,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125
