"pressure"	"GlobalNodeId"	"PedigreeNodeId"	"vtkValidPointMask"	"arc_length"	"Points:0"	"Points:1"	"Points:2"
0.060011	0	0	1	0	0	2.15	0.5
0.060042	0	0	1	0.001	0.001	2.15	0.5
0.060072	0	0	1	0.002	0.002	2.15	0.5
0.060102	0	0	1	0.003	0.003	2.15	0.5
0.060133	0	0	1	0.004	0.004	2.15	0.5
0.060163	0	0	1	0.005	0.005	2.15	0.5
0.060193	0	0	1	0.006	0.006	2.15	0.5
0.060224	0	0	1	0.007	0.007	2.15	0.5
0.060254	0	0	1	0.008	0.008	2.15	0.5
0.060285	0	0	1	0.009	0.009	2.15	0.5
0.060315	0	0	1	0.01	0.01	2.15	0.5
0.060345	0	0	1	0.011	0.011	2.15	0.5
0.060369	0	0	1	0.012	0.012	2.15	0.5
0.060383	0	0	1	0.013	0.013	2.15	0.5
0.060398	0	0	1	0.014	0.014	2.15	0.5
0.060412	0	0	1	0.015	0.015	2.15	0.5
0.060426	0	0	1	0.016	0.016	2.15	0.5
0.06044	0	0	1	0.017	0.017	2.15	0.5
0.060455	0	0	1	0.018	0.018	2.15	0.5
0.060469	0	0	1	0.019	0.019	2.15	0.5
0.060484	0	0	1	0.02	0.02	2.15	0.5
0.060509	0	0	1	0.021	0.021	2.15	0.5
0.060534	0	0	1	0.022	0.022	2.15	0.5
0.06056	0	0	1	0.023	0.023	2.15	0.5
0.060585	0	0	1	0.024	0.024	2.15	0.5
0.06061	0	0	1	0.025	0.025	2.15	0.5
0.060635	0	0	1	0.026	0.026	2.15	0.5
0.06066	0	0	1	0.027	0.027	2.15	0.5
0.060685	0	0	1	0.028	0.028	2.15	0.5
0.06071	0	0	1	0.029	0.029	2.15	0.5
0.060735	0	0	1	0.03	0.03	2.15	0.5
0.060761	0	0	1	0.031	0.031	2.15	0.5
0.060786	0	0	1	0.032	0.032	2.15	0.5
0.060811	0	0	1	0.033	0.033	2.15	0.5
0.060836	0	0	1	0.034	0.034	2.15	0.5
0.060861	0	0	1	0.035	0.035	2.15	0.5
0.060886	0	0	1	0.036	0.036	2.15	0.5
0.060911	0	0	1	0.037	0.037	2.15	0.5
0.060936	0	0	1	0.038	0.038	2.15	0.5
0.060962	0	0	1	0.039	0.039	2.15	0.5
0.060987	0	0	1	0.04	0.04	2.15	0.5
0.061012	0	0	1	0.041	0.041	2.15	0.5
0.061037	0	0	1	0.042	0.042	2.15	0.5
0.061062	0	0	1	0.043	0.043	2.15	0.5
0.061087	0	0	1	0.044	0.044	2.15	0.5
0.061112	0	0	1	0.045	0.045	2.15	0.5
